seed,w,stage,concordance_selfref_at_stage_start,jaccard_A_at_stage_start,agree_frontier_label,agree_past_label,agree_core_label,n_nodes,symdiff_nodes_AB,trunk_common
25,1,7,0.9047619047619048,0.0,0.8421052631578947,1.0,1.0,109,0,1
25,1,8,0.8695652173913043,0.0,0.8636363636363636,1.0,1.0,114,0,1
25,1,9,0.9130434782608695,0.5,0.6190476190476191,1.0,1.0,115,0,1
25,1,10,0.8541666666666666,0.0,0.7272727272727273,1.0,1.0,118,0,1
25,1,11,0.8627450980392157,0.0,0.9166666666666666,1.0,1.0,122,0,1
25,1,12,0.9038461538461539,0.4444444444444444,0.625,1.0,1.0,124,0,1
25,1,13,0.9259259259259259,0.0,0.84,1.0,1.0,127,0,1
26,1,0,0.8666666666666667,0.0,0.7142857142857143,nan,nan,60,0,1
26,1,1,0.95,0.6666666666666666,0.9375,1.0,1.0,68,0,1
26,1,2,0.9565217391304348,0.0,0.9411764705882353,1.0,1.0,73,0,1
26,1,3,0.9583333333333334,0.0,0.9411764705882353,1.0,1.0,75,0,1
26,1,4,1.0,nan,1.0,1.0,1.0,76,0,1
26,1,5,1.0,nan,1.0,1.0,1.0,77,0,1
26,1,6,1.0,nan,1.0,1.0,1.0,81,0,1
26,1,7,0.9,0.0,0.8947368421052632,1.0,1.0,85,0,1
26,1,8,1.0,nan,1.0,1.0,1.0,92,0,1
26,1,9,1.0,nan,1.0,1.0,1.0,97,0,1
26,1,10,1.0,nan,1.0,1.0,1.0,99,0,1
26,1,11,1.0,nan,1.0,1.0,1.0,101,0,1
26,1,12,1.0,nan,1.0,1.0,1.0,102,0,1
26,1,13,1.0,nan,1.0,1.0,1.0,107,0,1
27,1,0,0.8,0.4,0.35714285714285715,nan,nan,60,0,1
27,1,1,0.8636363636363636,0.625,0.3333333333333333,1.0,1.0,70,0,1
27,1,2,1.0,nan,0.88,1.0,1.0,91,0,1
27,1,3,0.975,0.0,0.84,1.0,1.0,99,0,1
